"","str_sub.address.3...2..3."
"1","NY"
"2","TX"
"3","OR"
"4","FL"
"5","CA"
"6","NY"
"7","GA"
"8","Ge"
"9","Ge"
"10","50"
"11","US"
"12","GA"
"13","VA"
"14","VA"
"15","VA"
"16","VA"
"17","VA"
"18","AZ"
"19","LA"
"20","CA"
"21","MD"
"22","MD"
"23","SC"
"24","OH"
"25","GA"
"26","CO"
"27","KS"
"28","OH"
"29","OH"
"30","KS"
"31","MN"
"32","St"
"33","CA"
"34","CA"
"35","CT"
"36","US"
"37",NA
"38","CA"
"39","CA"
"40","MS"
"41","MO"
"42","OH"
"43","NC"
"44","GA"
"45","OH"
"46","PA"
"47","PA"
"48","PA"
"49","PA"
"50","PA"
"51","PA"
"52","PA"
"53","CA"
"54","CA"
"55","OK"
"56","NC"
"57","OK"
"58","OK"
"59","US"
"60","Ri"
"61","CA"
"62","IL"
"63","IL"
"64","ID"
"65","TX"
"66","IL"
"67","US"
"68","MI"
"69","PA"
"70","TX"
"71","TX"
"72","US"
"73","GA"
"74","Mc"
"75","LA"
"76","AZ"
"77","MB"
"78","KS"
"79","MA"
"80","TN"
"81","NY"
"82","CA"
"83","CA"
"84","CA"
"85","CA"
"86","CA"
"87","CA"
"88","Be"
"89","OH"
"90",NA
"91","GA"
"92","US"
"93","KS"
"94","KS"
"95","KS"
"96","KS"
"97","IL"
"98","IL"
"99","Se"
"100","IN"
"101","Ja"
"102","BC"
"103","PA"
"104","OH"
"105","OH"
"106","OH"
"107","FL"
"108",NA
"109","GA"
"110","GA"
"111","GA"
"112","GA"
"113","GA"
"114","GA"
"115","OH"
"116","OK"
"117","WA"
"118","LA"
"119","WI"
"120","OH"
"121","OH"
"122","OH"
"123","OH"
"124","IN"
"125","IN"
"126","NY"
"127","NY"
"128","NY"
"129","NY"
"130",NA
"131",NA
"132","TX"
"133","Ca"
"134","WA"
"135","DC"
"136","IA"
"137","IL"
"138","TX"
"139","Me"
"140","SD"
"141","TX"
"142","CA"
"143","NY"
"144","KY"
"145","KS"
"146","Ir"
"147","VA"
"148","TX"
"149","GA"
"150","GA"
"151","GA"
"152","GA"
"153","GA"
"154","GA"
"155","GA"
"156","GA"
"157","GA"
"158","CA"
"159","ON"
"160","PA"
"161","Se"
"162","US"
"163","CA"
"164","Co"
"165","CA"
"166","CA"
"167","CA"
"168","Ca"
"169","NJ"
"170","NJ"
"171","NJ"
"172","DC"
"173","MA"
"174","Se"
"175","IN"
"176","NY"
"177","US"
"178","KS"
"179","DE"
"180","FL"
"181","TX"
"182","KS"
"183","US"
"184","US"
"185","St"
"186","IN"
"187","Ni"
"188","TN"
"189","WA"
"190","US"
"191","ON"
"192","US"
"193","CA"
"194","US"
"195","IL"
"196","IL"
"197","IL"
"198","CA"
"199","UT"
"200","NY"
"201","FL"
"202","AB"
"203","CA"
"204","AB"
"205","WI"
"206","ME"
"207","IL"
"208","NJ"
"209","NJ"
"210","TN"
"211","IL"
"212","CA"
"213","CA"
"214","CA"
"215","CA"
"216","CA"
"217","CA"
"218","CA"
"219","AL"
"220","St"
"221","St"
"222","AR"
"223","KS"
"224","DC"
"225","NY"
"226","Fr"
"227","GA"
"228","CA"
"229","KS"
"230","US"
"231","US"
"232","NY"
"233","NY"
"234","WA"
"235","VA"
"236","TX"
"237","NY"
"238","CA"
"239","CA"
"240","CT"
"241","CT"
"242","DC"
"243","CA"
"244","NY"
"245","IL"
"246","TX"
"247","Ja"
"248","US"
"249","US"
"250","CO"
"251","CA"
"252","MD"
"253","CA"
"254","NV"
"255","NV"
"256","CA"
"257","CA"
"258","CA"
"259","MD"
"260","IL"
"261","CA"
"262","NY"
"263","MD"
"264","MD"
"265","TN"
"266","ND"
"267","IN"
"268","IL"
"269",NA
"270","OH"
"271","KS"
"272","St"
"273","TN"
"274","CA"
"275","AR"
"276","CO"
"277","WA"
"278","OK"
"279","VA"
"280","NY"
"281","OH"
"282","GA"
"283","CO"
"284","Ru"
"285","La"
"286","No"
"287","IL"
"288","ON"
"289","IN"
"290","OH"
"291","PA"
"292","KS"
"293","CA"
"294","NC"
"295","IN"
"296","NC"
"297","OH"
"298","OH"
"299","WI"
"300","CA"
"301","CA"
"302","Mi"
"303","CA"
"304","AL"
"305","CA"
"306","WA"
"307","AL"
"308","WV"
"309","US"
"310","Wh"
"311","TN"
"312","TX"
"313","KS"
"314","KS"
"315","US"
"316","NC"
"317","NC"
"318","NC"
"319","NC"
"320","CO"
"321","KS"
"322","FL"
"323","LA"
"324","FL"
"325","DC"
"326","Ca"
"327","CT"
"328","TN"
"329","MA"
"330","LA"
"331","OH"
"332","OH"
"333","ON"
"334","IL"
"335","GA"
"336","DE"
"337","PA"
"338","MO"
"339","MO"
"340","US"
"341","NC"
"342","MD"
"343","ON"
"344","St"
"345","KY"
"346","CA"
"347","IA"
"348","IA"
"349","SC"
"350","NY"
"351","NY"
"352","CA"
"353","TX"
"354","US"
"355","NV"
"356","VA"
"357","ho"
"358","NV"
"359","NV"
"360","NJ"
"361","CO"
"362","NC"
"363","NC"
"364","NC"
"365","NC"
"366","MO"
"367","OH"
"368","AZ"
"369","OH"
"370","FL"
"371","MD"
"372","AB"
"373","WV"
"374","ID"
"375","NC"
"376","Mc"
"377","KY"
"378","MS"
"379","GA"
"380","TN"
"381","CA"
"382","CA"
"383","NV"
"384","NV"
"385","NY"
"386","NV"
"387","KS"
"388","WI"
"389","WI"
"390","SC"
"391","MO"
"392","TX"
"393","TX"
"394","81"
"395","La"
"396","OH"
"397","CA"
"398","OK"
"399","MD"
"400","MD"
"401","Co"
"402","WA"
"403","PA"
"404","OH"
"405","CO"
"406","er"
"407","GA"
"408","CA"
"409","KS"
"410","PA"
"411","WA"
"412","GA"
"413","GA"
"414","OH"
"415","OH"
"416","US"
"417",NA
"418","WA"
"419","WA"
"420","WA"
"421","WA"
"422","MA"
"423","DC"
"424","US"
"425",NA
"426","US"
"427","OH"
"428","KS"
"429","DC"
"430","DC"
"431","MO"
"432","CA"
"433","Se"
"434","WA"
"435","OK"
"436","KS"
"437","Co"
"438","ON"
"439","KS"
"440","KS"
"441","TN"
"442","SC"
"443","NC"
"444","OR"
"445","OR"
"446","OR"
"447","OR"
"448","OR"
"449","OR"
"450","OR"
"451","OR"
"452","OR"
"453","OR"
"454","OR"
"455","OR"
"456","OR"
"457","OH"
"458","OH"
"459","Ca"
"460","NC"
"461","CT"
"462","CO"
"463","Po"
"464","TX"
"465","KS"
"466","FL"
"467","Mi"
"468","Co"
"469","IL"
"470","GA"
"471","De"
"472","GA"
"473","MD"
"474","VA"
"475","US"
"476","CA"
"477","NY"
"478","OK"
"479","IN"
"480","IN"
"481","PA"
"482","KS"
"483","Co"
"484","WA"
"485","US"
"486","MD"
"487","Sw"
"488","CA"
"489","FL"
"490","OR"
"491","IN"
"492","CA"
"493","GA"
"494","OR"
"495","OH"
"496","VA"
"497","US"
"498","CT"
"499",NA
"500","KS"
"501","KS"
"502","KS"
"503","KS"
"504","KS"
"505","KS"
"506","KS"
"507","KS"
"508","KS"
"509","MD"
"510","TN"
"511","TX"
"512","Co"
"513","Co"
"514","OH"
"515","Co"
"516","US"
"517","KS"
"518","OR"
"519","OR"
"520","OR"
"521","MI"
"522","LA"
"523","LA"
"524","UK"
"525","CO"
"526","US"
"527","OH"
"528","Co"
"529","ON"
"530","CT"
"531","TX"
"532","TX"
"533","TX"
"534","MO"
"535","KS"
"536","NY"
"537","WV"
"538","KY"
"539","FL"
"540","DC"
"541","FL"
"542","US"
"543","MI"
"544","MI"
"545","MI"
"546","MI"
"547","MO"
"548","UK"
"549","KS"
"550","Co"
"551","Co"
"552","US"
"553","US"
"554","KS"
"555","GA"
"556","NY"
"557","AZ"
"558","ME"
"559","OH"
"560","NC"
"561","AL"
"562","SC"
"563","TX"
"564","Pr"
"565","GA"
"566","Co"
"567","CA"
"568","OH"
"569","TN"
"570","US"
"571","WY"
"572","BC"
"573","OK"
"574","TX"
"575","TX"
"576","AZ"
"577","GA"
"578","GA"
"579","GA"
"580","US"
"581","DC"
"582","IN"
"583","NY"
"584","Co"
"585","SC"
"586","Ch"
"587","TX"
"588","MA"
"589","CA"
"590","TX"
"591","TX"
"592","NY"
"593","TX"
"594","KS"
"595","ME"
"596","Ge"
"597","TX"
"598","OK"
"599","AB"
"600","AL"
"601","Ca"
"602","FL"
"603","TX"
"604","Do"
"605","OR"
"606","NY"
"607","PA"
"608","GA"
"609","WI"
"610","CT"
"611","CT"
"612","CT"
"613","WA"
"614","CA"
"615","00"
"616","OK"
"617","AR"
"618","KS"
"619","Ug"
"620","NY"
"621","CA"
"622","Br"
"623","NJ"
"624","TX"
"625","Et"
"626","PA"
"627","US"
"628","US"
"629","TX"
"630","Co"
"631","TX"
"632","MA"
"633","TN"
"634","MT"
"635","CA"
"636","CA"
"637","VA"
"638","VA"
"639","Ar"
"640","KS"
"641","RI"
"642","FL"
"643","CT"
"644","UK"
"645","CA"
"646","CA"
"647","CA"
"648","Ta"
"649","NY"
"650","LA"
"651","LA"
"652","Sa"
"653","IA"
"654","OK"
"655","NY"
"656","PA"
"657","KS"
"658","KS"
"659","LA"
"660","KS"
"661","KS"
"662","KS"
"663","KS"
"664","US"
"665","CA"
"666","Ka"
"667","KS"
"668","GA"
"669","MD"
"670","KS"
"671","UK"
"672","FL"
"673","MO"
"674","OH"
"675","CA"
"676","TN"
"677","OH"
"678","US"
"679","US"
"680","FL"
"681","ON"
"682","Is"
"683","KS"
"684","FL"
"685","NM"
"686","MO"
"687","CA"
"688","US"
"689","St"
"690","WV"
"691","NJ"
"692","CA"
"693","NY"
"694","QC"
"695","DC"
"696","MO"
"697","NC"
"698","NC"
"699","MO"
"700","AZ"
"701","IN"
"702","IN"
"703","GA"
"704","CA"
"705","US"
"706","IN"
"707","SD"
"708","CA"
"709","Se"
"710","Fi"
"711","US"
"712","KS"
"713","OR"
"714","TX"
"715","MS"
"716","Co"
"717","Co"
"718","Co"
"719","Co"
"720","Co"
"721","TX"
"722","TX"
"723",NA
"724","VA"
"725","OR"
"726","KS"
"727","AZ"
"728","ON"
"729","US"
"730","AB"
"731","NC"
"732","CO"
"733","Se"
"734","CA"
"735","SC"
"736","KS"
"737","OR"
"738","LA"
"739","OK"
"740","DC"
"741","KS"
"742","OK"
"743","TX"
"744","MD"
"745","TX"
"746","Ni"
"747","KS"
"748","DC"
"749","CT"
"750","NY"
"751","78"
"752","CA"
"753","KS"
"754","IN"
"755","MN"
"756","TX"
"757","MA"
"758","TX"
"759","US"
"760","NY"
"761","OK"
"762","FL"
"763","IL"
"764","TX"
"765","NY"
"766","VA"
"767","TX"
"768","GA"
"769","NY"
"770","US"
"771","US"
"772","US"
"773","US"
"774","US"
"775","US"
"776","US"
"777","US"
"778","CT"
"779","TX"
"780","UK"
"781","UK"
"782","NY"
"783","MA"
"784","NM"
"785","DC"
"786","DC"
"787","DC"
"788","KS"
"789",NA
"790","CA"
"791","WV"
"792","GA"
"793","GA"
"794","GA"
"795","KS"
"796","KS"
"797","Po"
"798","TX"
"799","LA"
"800","OH"
"801","WA"
"802","MA"
"803","MA"
"804","MA"
"805","MA"
"806","ON"
"807","DC"
"808","NY"
"809","Co"
"810","BC"
"811","NY"
"812","Se"
"813","US"
"814","Ma"
"815","WA"
"816","TX"
"817","TX"
"818","US"
"819","VA"
"820","US"
"821","KS"
"822","KS"
"823","KS"
"824","OH"
"825","OH"
"826","CA"
"827","OH"
"828","ID"
"829","NJ"
"830","AR"
"831","St"
"832","MI"
"833","TN"
"834","CA"
"835","NY"
"836","OH"
"837","GA"
"838","TX"
"839","Ni"
"840","TN"
"841","Sã"
"842","MO"
"843","Co"
"844","CA"
"845","NY"
"846","OH"
"847","TX"
"848","LA"
"849","CA"
"850","VA"
"851","AZ"
"852","MO"
"853","MO"
"854","NY"
"855","MO"
"856","Se"
"857","Co"
"858","KS"
"859","KS"
"860","KS"
"861","MB"
"862","CA"
"863","US"
"864","CA"
"865","PA"
"866","Wo"
"867","GA"
"868","ON"
"869","ON"
"870","TN"
"871","Lo"
"872","KS"
"873","KS"
"874","KS"
"875","KS"
"876","KS"
"877","KS"
"878","MI"
"879","UK"
"880","Ca"
"881","AR"
"882","MD"
"883","OR"
"884","NY"
"885","Co"
"886","NJ"
"887","US"
"888","TX"
"889","OH"
"890","OH"
"891","OH"
"892","IA"
"893","DE"
"894","US"
"895","US"
"896","MD"
"897","ON"
"898","MD"
"899","Co"
"900","DC"
"901","KS"
"902","KS"
"903","KS"
"904","KS"
"905","NY"
"906","IN"
"907","SC"
"908","PA"
"909","CA"
"910","CA"
"911","CA"
"912","CA"
"913","CA"
"914","CA"
"915","CA"
"916","CA"
"917","CA"
"918","CA"
"919","NY"
"920","Ka"
"921","TX"
"922","Co"
"923","CA"
"924","DC"
"925","TX"
"926","CO"
"927","WV"
"928","KY"
"929","OK"
"930","CA"
"931","Ca"
"932","NH"
"933","KS"
"934","WV"
"935","WV"
"936","AB"
"937","TX"
"938","IN"
"939","IN"
"940","Be"
"941","Be"
"942","IN"
"943","UT"
"944","Co"
"945","US"
"946","AZ"
"947","OH"
"948","Ri"
"949","TX"
"950","OK"
"951","ON"
"952","ON"
"953","IL"
"954","TN"
"955","Co"
"956","NY"
"957","CA"
"958","NY"
"959","KS"
"960","US"
"961","TX"
"962","US"
"963","US"
"964","OR"
"965","OR"
"966","OK"
"967","CA"
"968","NV"
"969","PA"
"970","TX"
"971","MI"
"972","TN"
"973","TN"
"974","No"
"975","IL"
"976","IL"
"977","GA"
"978","CA"
"979","KS"
"980","WV"
"981","MD"
"982","NC"
"983","PA"
"984","CO"
"985","MD"
"986","TX"
"987","UK"
"988","VA"
"989","AL"
"990","QC"
"991","CA"
"992","ON"
"993","UK"
"994","GA"
"995","TX"
"996","TX"
"997","TX"
"998","TX"
"999",NA
"1000","US"
"1001","CO"
"1002","US"
"1003","Co"
"1004","US"
"1005","WI"
"1006","IN"
"1007","KY"
"1008",NA
"1009","NY"
"1010","AL"
"1011","KS"
"1012","CA"
"1013","MA"
"1014","TX"
"1015","TX"
"1016","50"
"1017","OK"
"1018",NA
"1019","CA"
"1020","Co"
"1021","Co"
"1022","Co"
"1023","MA"
"1024","FL"
"1025","KS"
"1026","IL"
"1027","50"
"1028","OH"
"1029","NY"
"1030","KS"
"1031","CA"
"1032","CA"
"1033","Co"
"1034","Co"
"1035","ON"
"1036","LA"
"1037","Co"
"1038","KS"
"1039","FL"
"1040","MN"
"1041","Ce"
"1042","UT"
"1043","Co"
"1044","Co"
"1045","CA"
"1046","TX"
"1047","DC"
"1048","Hu"
"1049","OH"
"1050","OK"
"1051","IL"
"1052","MI"
"1053","TX"
"1054","CA"
"1055","Mi"
"1056","Co"
"1057","IL"
"1058","CA"
"1059","CA"
"1060","CA"
"1061","IN"
"1062","US"
"1063","ME"
"1064","OH"
"1065","TN"
"1066","PA"
"1067","OH"
"1068","OK"
"1069","KS"
"1070","CT"
"1071","GA"
"1072","US"
"1073","OH"
"1074","MS"
"1075","OK"
"1076","FL"
"1077","FL"
"1078","FL"
"1079","FL"
"1080","OH"
"1081","De"
"1082","St"
"1083","TX"
"1084","Co"
"1085","Fi"
"1086","VA"
"1087","VA"
"1088","TX"
"1089","LA"
"1090","OH"
"1091","Co"
"1092","PA"
"1093",NA
"1094","MA"
"1095","LA"
"1096","PA"
"1097","OK"
"1098","KS"
"1099","WI"
"1100",NA
"1101","MO"
"1102","TX"
"1103","Co"
"1104","IN"
"1105","IL"
"1106","Sa"
"1107","OH"
"1108","NY"
"1109","Ma"
"1110","MA"
"1111","NY"
"1112","PA"
"1113","Se"
"1114","PA"
"1115","US"
"1116","Ka"
"1117","CA"
"1118","US"
"1119","KS"
"1120","TX"
"1121","PA"
"1122","AZ"
"1123","CA"
"1124","OH"
"1125","Ir"
"1126","OK"
"1127","PA"
"1128","MA"
"1129","TX"
"1130","NC"
"1131","Au"
"1132","NJ"
"1133","00"
"1134","GA"
"1135","TX"
"1136","MA"
"1137","IA"
"1138","SC"
"1139","Me"
"1140","KS"
"1141","ON"
"1142","CO"
"1143","KS"
"1144","GA"
"1145","La"
"1146","PA"
"1147","VA"
"1148","TN"
"1149","NY"
"1150","DC"
"1151","CA"
"1152","NY"
"1153","GA"
"1154","GA"
"1155","GA"
"1156","UK"
"1157","WA"
"1158","46"
"1159","TX"
"1160","CA"
"1161","CA"
"1162","GA"
"1163","NC"
"1164","WA"
"1165","TN"
"1166","IL"
"1167","PA"
"1168","TX"
"1169","KS"
"1170","KS"
"1171","KS"
"1172","KS"
"1173","TX"
"1174","CA"
"1175","TX"
"1176","US"
"1177","Pa"
"1178","GA"
"1179","MD"
"1180","NY"
"1181","DE"
"1182","OK"
"1183","Se"
"1184","Se"
"1185","MA"
"1186","OH"
"1187","ON"
"1188","Ni"
"1189","DC"
"1190","NJ"
"1191","CT"
"1192","NJ"
"1193","TX"
"1194","KS"
"1195","TX"
"1196","KS"
"1197","KS"
"1198","ON"
"1199","VA"
"1200","KS"
"1201","FL"
"1202","UK"
"1203","TX"
"1204","PA"
"1205","KS"
"1206","ON"
"1207","MA"
"1208","OH"
"1209","NY"
"1210","CA"
"1211","CA"
"1212","US"
"1213","FL"
"1214","TX"
"1215","US"
"1216","KS"
"1217","Po"
"1218","TX"
"1219","TX"
"1220","MN"
"1221","CA"
"1222","FL"
"1223","MO"
"1224","MO"
"1225","St"
"1226","IL"
"1227","NY"
"1228","Ta"
"1229","AL"
"1230","CA"
"1231","CA"
"1232","CA"
"1233","CA"
"1234","CA"
"1235","CA"
"1236","KS"
"1237","KS"
"1238","OH"
"1239","OH"
"1240","Po"
"1241","VA"
"1242","NE"
"1243","PA"
"1244","DC"
"1245","NV"
"1246","CA"
"1247","IA"
"1248","OK"
"1249","NY"
"1250","NY"
"1251","US"
"1252","SD"
"1253","PA"
"1254","KY"
"1255","DE"
"1256","PA"
"1257","GA"
"1258","CA"
"1259","IL"
"1260","US"
"1261","GA"
"1262","MI"
"1263","UK"
"1264","US"
"1265","NY"
"1266","UK"
"1267","WA"
"1268","FL"
"1269","TX"
"1270","US"
"1271","NC"
"1272","NC"
"1273","US"
"1274","PA"
"1275","Co"
"1276","DC"
"1277","Th"
"1278","CA"
"1279","ON"
"1280","PA"
"1281",NA
"1282","NY"
"1283",NA
"1284","Ge"
"1285","US"
"1286","NY"
"1287","GA"
"1288","AL"
"1289","IL"
"1290","UK"
"1291","US"
"1292","NC"
"1293","MI"
"1294","NY"
"1295","NY"
"1296","NY"
"1297","OH"
"1298","MO"
"1299","VA"
"1300","No"
"1301","US"
"1302","WY"
"1303","US"
"1304","NY"
"1305","NY"
"1306",NA
"1307","Co"
"1308","KS"
"1309","KS"
"1310","KS"
"1311","MA"
"1312","CA"
"1313","IA"
"1314","IN"
"1315","DC"
"1316","LA"
"1317","AZ"
"1318","VA"
"1319","AB"
"1320",NA
"1321","OH"
"1322","DC"
"1323","NV"
"1324","TX"
"1325","TX"
"1326","NY"
"1327","TX"
"1328","LA"
"1329","OK"
"1330","US"
"1331","NY"
"1332","KS"
"1333","KS"
"1334","US"
"1335","GA"
"1336","CA"
"1337","US"
"1338","NC"
"1339","KS"
"1340","NY"
"1341","NY"
"1342","MN"
"1343","FL"
"1344","NY"
"1345","OH"
"1346","OH"
"1347","DC"
"1348","CA"
"1349","US"
"1350","KS"
"1351","TN"
"1352","ON"
"1353","MD"
"1354","KY"
"1355","DE"
"1356","NY"
"1357","NY"
"1358","ON"
"1359","US"
"1360","US"
"1361","WV"
"1362","GA"
"1363","KY"
"1364","PA"
"1365","ON"
"1366","OH"
"1367","GA"
"1368","GA"
"1369","NJ"
"1370","CA"
"1371","CA"
"1372","CA"
"1373","CA"
"1374","KS"
"1375","MD"
"1376","TX"
"1377","CA"
"1378","OK"
"1379","WV"
"1380","WV"
"1381","US"
"1382","PA"
"1383","GA"
"1384","IA"
"1385","OR"
"1386","KY"
"1387","IN"
"1388","St"
"1389","TX"
"1390","CA"
"1391","MA"
"1392","KS"
"1393","MA"
"1394","PA"
"1395","US"
"1396","OH"
"1397","RI"
"1398","KS"
"1399","GA"
"1400","KS"
"1401","US"
"1402","CA"
"1403","MO"
"1404","IL"
"1405","WI"
"1406","CT"
"1407","TX"
"1408","OK"
"1409","PA"
"1410","KS"
"1411","MA"
"1412","MA"
"1413","MA"
"1414",NA
"1415","MA"
"1416","CA"
"1417","CA"
"1418","CA"
"1419","TX"
"1420",NA
"1421","US"
"1422","KS"
"1423","Be"
"1424","Ca"
"1425","US"
"1426","US"
"1427","TX"
"1428","UT"
"1429","GA"
"1430","Ni"
"1431","MN"
"1432","KS"
"1433","PA"
"1434","Ca"
"1435","FL"
"1436","Ir"
"1437","WI"
"1438","OH"
"1439","US"
"1440","Fi"
"1441","CO"
"1442","US"
"1443","Ca"
"1444","KS"
"1445","TX"
"1446","NY"
"1447","NY"
"1448","NY"
"1449","CA"
"1450","St"
"1451","US"
"1452","IN"
"1453","TX"
"1454","La"
"1455","OH"
"1456","US"
"1457","GA"
"1458","GA"
"1459","KY"
